"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId"
"2025-06-08 16:03:51",1749398631586,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",-1,"wzn97-1749398631492-a9d42ac1f724","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",-1,"iad1",-1,-1,"Adjusted: 2025-06-09T14:05:06.579Z","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","5mQynvWYIyb1FqbZP4y25fD8HcHloMOH0zWuhe2-b3k=",""
"2025-06-08 16:03:51",1749398631586,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",-1,"wzn97-1749398631492-a9d42ac1f724","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",-1,"iad1",-1,-1,"Original: 2025-06-08T16:05:06.579Z","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","5mQynvWYIyb1FqbZP4y25fD8HcHloMOH0zWuhe2-b3k=",""
"2025-06-08 16:03:51",1749398631586,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",-1,"wzn97-1749398631492-a9d42ac1f724","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",-1,"iad1",-1,-1,"⏰ Business hours adjustment for GxqO9C2BoLe4QqCH6gRn (America/Denver):","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","5mQynvWYIyb1FqbZP4y25fD8HcHloMOH0zWuhe2-b3k=",""
"2025-06-08 16:03:51",1749398631578,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",-1,"wzn97-1749398631492-a9d42ac1f724","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",-1,"iad1",-1,-1,"✅ Custom field ID encontrado en DB para location GxqO9C2BoLe4QqCH6gRn: 2ehKKoPzLRYho1Nmj1bP","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","5mQynvWYIyb1FqbZP4y25fD8HcHloMOH0zWuhe2-b3k=",""
"2025-06-08 16:03:51",1749398631549,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",-1,"wzn97-1749398631492-a9d42ac1f724","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",-1,"iad1",-1,-1,"🧠 Webhook recibido:
 {
  ""data"": {
    ""TimeFrame"": ""30 to 90"",
    ""locationId"": ""GxqO9C2BoLe4QqCH6gRn"",
    ""workflowId"": """",
    ""contactid"": ""U0wNEfP2Cth9lgi9qSCY"",
    ""apiKey"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsb2NhdGlvbl9pZCI6Ikd4cU85QzJCb0xlNFFxQ0g2Z1JuIiwidmVyc2lvbiI6MSwiaWF0IjoxNzQzMTc4MDI2MjgwLCJzdWIiOiJnbHRTM3Qxa1o2WmswTkZGUzFmNyJ9.m90ABTrknOwZmNoTCqYQudus94SGjZXg_8unPAw8JRo""
  },
  ""extras"": {
    ""locationId"": ""GxqO9C2BoLe4QqCH6gRn"",
    ""contactId"": ""U0wNEfP2Cth9lgi9qSCY"",
    ""workflowId"": ""5cdba078-2b74-49ea-b492-f67762878251"",
    ""companyId"": ""m0iz4bKQOSdnbfw5fprB""
  },
  ""meta"": {
    ""key"": ""humanizer_v1"",
    ""version"": ""1.3""
  },
  ""isMarketplaceAction"": true
}","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","5mQynvWYIyb1FqbZP4y25fD8HcHloMOH0zWuhe2-b3k=",""
"2025-06-08 16:03:51",1749398631532,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",200,"wzn97-1749398631492-a9d42ac1f724","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",50,"iad1",131,1769,"","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","5mQynvWYIyb1FqbZP4y25fD8HcHloMOH0zWuhe2-b3k=","IqGFcfCVtOJT"
"2025-06-07 23:27:38",1749338858122,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",-1,"9k56d-1749338858040-4d13f50b9915","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",-1,"iad1",-1,-1,"✅ Custom field ID encontrado en DB para location GxqO9C2BoLe4QqCH6gRn: 2ehKKoPzLRYho1Nmj1bP","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","4lRtXwMhWLsyzsLMgfDwAaByzRroTjqkG1b1baX04Dg=",""
"2025-06-07 23:27:38",1749338858094,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",-1,"9k56d-1749338858040-4d13f50b9915","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",-1,"iad1",-1,-1,"🧠 Webhook recibido:
 {
  ""data"": {
    ""TimeFrame"": ""25 to 120 "",
    ""locationId"": ""GxqO9C2BoLe4QqCH6gRn"",
    ""workflowId"": """",
    ""contactid"": ""wt1qW4TlNIG4ScT2XDxZ"",
    ""apiKey"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsb2NhdGlvbl9pZCI6Ikd4cU85QzJCb0xlNFFxQ0g2Z1JuIiwidmVyc2lvbiI6MSwiaWF0IjoxNzQzMTc4MDI2MjgwLCJzdWIiOiJnbHRTM3Qxa1o2WmswTkZGUzFmNyJ9.m90ABTrknOwZmNoTCqYQudus94SGjZXg_8unPAw8JRo""
  },
  ""extras"": {
    ""locationId"": ""GxqO9C2BoLe4QqCH6gRn"",
    ""contactId"": ""wt1qW4TlNIG4ScT2XDxZ"",
    ""workflowId"": ""a8cb54e0-c65d-400d-aaf8-a193e8906c38"",
    ""companyId"": ""m0iz4bKQOSdnbfw5fprB""
  },
  ""meta"": {
    ""key"": ""humanizer_v1"",
    ""version"": ""1.3""
  },
  ""isMarketplaceAction"": true
}","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","4lRtXwMhWLsyzsLMgfDwAaByzRroTjqkG1b1baX04Dg=",""
"2025-06-07 23:27:38",1749338858079,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",200,"9k56d-1749338858040-4d13f50b9915","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",41,"iad1",130,1769,"","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","4lRtXwMhWLsyzsLMgfDwAaByzRroTjqkG1b1baX04Dg=","9VJQYrNFyRFN"
"2025-06-07 23:26:30",1749338790899,"drip-server-debug.vercel.app/api/enqueue-contact","POST","locationId=GxqO9C2BoLe4QqCH6gRn",-1,"wc78x-1749338790828-bee8db817f4e","axios/0.21.4","info","production","","MISS","lambda","/api/enqueue-contact.ts","drip-server-debug.vercel.app","drip-server-debug.vercel.app","dpl_739ojQEABsLSBZK1dMqV7bvaDcAr",-1,"iad1",-1,-1,"✅ Custom field ID encontrado en DB para location GxqO9C2BoLe4QqCH6gRn: 2ehKKoPzLRYho1Nmj1bP","prj_IcVAjBrig1G1Jq8PxMTh5ephgO1i","","","swuk4gjLUEfMONbBKEt3tP5H0jSMytB9EHrVPoSc4sc=",""
